name;id;interface;owner;cmd;state
SBS1#UNKNOWN-OPERATORS.QEF;126729218;undefined;system;58984491;{viewstate,[{<<"width">>,376},{<<"height">>,896},{<<"y">>,0},{<<"x">>,0}],[[{<<"name">>,<<"ROC_CONSOLIDATION_1">>},{<<"width">>,127},{<<"hidden">>,false}],[{<<"name">>,<<"ROC_STATUS_2">>},{<<"width">>,85},{<<"hidden">>,false}],[{<<"name">>,<<"SUM(ROC_COUNT)_3">>},{<<"width">>,109},{<<"hidden">>,false}]]}
SBS0#WARNING-SUMMARY.QEF;45495354;undefined;system;17653091;{viewstate,[{<<"width">>,680},{<<"height">>,100},{<<"y">>,0},{<<"x">>,0}],[[{<<"name">>,<<"W_APPLIC_1">>},{<<"width">>,73},{<<"hidden">>,false}],[{<<"name">>,<<"W_PROCEDURE_2">>},{<<"width">>,91},{<<"hidden">>,false}],[{<<"name">>,<<"W_TOPIC_3">>},{<<"width">>,67},{<<"hidden">>,false}],[{<<"name">>,<<"W_MESSAGE_4">>},{<<"width">>,79},{<<"hidden">>,false}],[{<<"name">>,<<"W_SHORTID_5">>},{<<"width">>,79},{<<"hidden">>,false}],[{<<"name">>,<<"W_BIHID_6">>},{<<"width">>,67},{<<"hidden">>,false}],[{<<"name">>,<<"COUNT(*)_7">>},{<<"width">>,73},{<<"hidden">>,false}],[{<<"name">>,<<"MIN(W_BDID)_8">>},{<<"width">>,91},{<<"hidden">>,false}]]}
SBS1#BOH-RECENT-STAT_R.QEF;54422249;undefined;system;74541565;{viewstate,[{<<"width">>,1745},{<<"height">>,120},{<<"y">>,0},{<<"x">>,0}],[[{<<"name">>,<<"BOH_ID_1">>},{<<"width">>,84},{<<"hidden">>,false}],[{<<"name">>,<<"BOH_PACKID_2">>},{<<"width">>,85},{<<"hidden">>,false}],[{<<"name">>,<<"BOH_DATETIME_3">>},{<<"width">>,159.6},{<<"hidden">>,false}],[{<<"name">>,<<"BOH_FILENAME_4">>},{<<"width">>,495.6},{<<"hidden">>,false}],[{<<"name">>,<<"BOH_RECCOUNT_5">>},{<<"width">>,97},{<<"hidden">>,false}],[{<<"name">>,<<"BOH_ERRCOUNT_6">>},{<<"width">>,97},{<<"hidden">>,false}],[{<<"name">>,<<"Duration_7">>},{<<"width">>,73},{<<"hidden">>,false}],[{<<"name">>,<<"BOH_ESID_8">>},{<<"width">>,73},{<<"hidden">>,false}],[{<<"name">>,<<"BOH_EXE_9">>},{<<"width">>,151.2},{<<"hidden">>,false}],[{<<"name">>,<<"BOH_VERSION_10">>},{<<"width">>,91},{<<"hidden">>,false}],[{<<"name">>,<<"BOH_JOB_11">>},{<<"width">>,67},{<<"hidden">>,false}],[{<<"name">>,<<"BOH_HOST_12">>},{<<"width">>,126},{<<"hidden">>,false}],[{<<"name">>,<<"BOH_THREAD_13">>},{<<"width">>,134.4},{<<"hidden">>,false}]]}
SBS0#HBH-RECENT.QEF;117273248;undefined;system;40234035;{viewstate,[{<<"width">>,914},{<<"height">>,902},{<<"y">>,0},{<<"x">>,0}],[[{<<"name">>,<<"HBH_ID_1">>},{<<"width">>,84},{<<"hidden">>,false}],[{<<"name">>,<<"HBH_HIHID_2">>},{<<"width">>,84},{<<"hidden">>,false}],[{<<"name">>,<<"HBH_DATETIME_3">>},{<<"width">>,159.6},{<<"hidden">>,false}],[{<<"name">>,<<"HBH_FILENAME_4">>},{<<"width">>,352.8},{<<"hidden">>,false}],[{<<"name">>,<<"HBH_RECCOUNT_5">>},{<<"width">>,97},{<<"hidden">>,false}],[{<<"name">>,<<"HBH_PACID_6">>},{<<"width">>,79},{<<"hidden">>,false}]]}
SBS2#ALL-IND-PARTITIONS.QEF;84770908;undefined;system;52498726;{viewstate,[],[]}
SBS1#ENPLASYNC-RECENT-ACTIVE.QEF;317106;undefined;system;93507957;{viewstate,[{<<"width">>,1334},{<<"height">>,100},{<<"y">>,0},{<<"x">>,0}],[[{<<"name">>,<<"ENPLASS_KEY_1">>},{<<"width">>,91},{<<"hidden">>,false}],[{<<"name">>,<<"ENPLASS_ENPLAID_2">>},{<<"width">>,115},{<<"hidden">>,false}],[{<<"name">>,<<"ENPLASS_INSYNC_3">>},{<<"width">>,109},{<<"hidden">>,false}],[{<<"name">>,<<"ENPLASS_SYNC_DATE_4">>},{<<"width">>,127},{<<"hidden">>,false}],[{<<"name">>,<<"ENPLASS_SYNC_RETRIES_5">>},{<<"width">>,145},{<<"hidden">>,false}],[{<<"name">>,<<"ENPLASS_REFRESH_DATE_6">>},{<<"width">>,145},{<<"hidden">>,false}],[{<<"name">>,<<"ENPLASS_SYNC_REQUEST_DATE_7">>},{<<"width">>,175},{<<"hidden">>,false}],[{<<"name">>,<<"ENPLASS_ENABLER_ACTIVE_8">>},{<<"width">>,157},{<<"hidden">>,false}],[{<<"name">>,<<"ENPLASS_MASTER_ACTIVE_9">>},{<<"width">>,151},{<<"hidden">>,false}],[{<<"name">>,<<"ENPLASS_ENABLER_HASH_10">>},{<<"width">>,145},{<<"hidden">>,false}],[{<<"name">>,<<"ENPLASS_MASTER_HASH_11">>},{<<"width">>,139},{<<"hidden">>,false}],[{<<"name">>,<<"ENPLASS_STATECOUNT_12">>},{<<"width">>,133},{<<"hidden">>,false}]]}
SBS1#ENPLALINK.QEF;21502566;undefined;system;11993483;{viewstate,[{<<"width">>,1334},{<<"height">>,589},{<<"y">>,0},{<<"x">>,0}],[[{<<"name">>,<<"EMPLAL_ID_1">>},{<<"width">>,79},{<<"hidden">>,false}],[{<<"name">>,<<"ENPLAL_ENPLAID_2">>},{<<"width">>,109},{<<"hidden">>,false}],[{<<"name">>,<<"EMPLAL_CODE_3">>},{<<"width">>,91},{<<"hidden">>,false}],[{<<"name">>,<<"EMPLAL_ADDRESS_4">>},{<<"width">>,714},{<<"hidden">>,false}],[{<<"name">>,<<"EMPLAL_ONLINE_5">>},{<<"width">>,103},{<<"hidden">>,false}],[{<<"name">>,<<"EMPLAL_CHECK_6">>},{<<"width">>,97},{<<"hidden">>,false}],[{<<"name">>,<<"EMPLAL_SYNC_USE_7">>},{<<"width">>,115},{<<"hidden">>,false}],[{<<"name">>,<<"EMPLAL_SYNC_MASTER_8">>},{<<"width">>,133},{<<"hidden">>,false}],[{<<"name">>,<<"ENPLAL_SVRAUTH_9">>},{<<"width">>,394.8},{<<"hidden">>,false}]]}
SBS2#ALL-TAB-PARTITIONS.QEF;42881938;undefined;system;50077786;{viewstate,[],[]}
SBS1#SBS1-EXAPROD.QEF;36193944;undefined;system;113795589;{viewstate,[{<<"width">>,340},{<<"height">>,120},{<<"y">>,0},{<<"x">>,0}],[[{<<"name">>,<<"'SBS1.EXAPROD'_1">>},{<<"width">>,282},{<<"hidden">>,false}]]}
SBS2#PACKING-SPTRY.QEF;67763632;undefined;system;19203884;{viewstate,[],[]}
